WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.857822478001495 -1.262994929245084),4503959145,,drinking_water,Kwa Joseph,,operational,often,Ksh 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.857965130468621 -1.262989810091931),4503959144,,drinking_water,Kwa Jane Njeri,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.858194560192182 -1.26290637687526),4503896063,,drinking_water,Kwa Maina,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.85865449761765 -1.263365933106523),4503896065,,drinking_water,Kwa Peter Otieno,,operational,often,Ksh. 2 per 20 Litres,public_community,water_tank,,yes,,
POINT (36.857986061214739 -1.262108507313777),1204137127,,drinking_water,Area E,,,,2ksh/20litres,,piped_tap,yes,,11:30-11:30,private
POINT (36.858677045331284 -1.262549024025631),4503896068,,drinking_water,Masita Youth Group,,,never,,public_community,water_tank,,yes,,
POINT (36.856727072344043 -1.262016093095031),1204137048,,drinking_water,,,,,none,,piped_tap,yes,,24/7,latf
POINT (36.856814119095077 -1.261888742883462),1103152511,,drinking_water,,,,,2kshper20litres,,piped_tap,yes,,06:00-22:30,private
POINT (36.857646048879701 -1.261718733035577),1204137097,,drinking_water,,,,,,,piped_tap,,yes,24/7,LATF
POINT (36.857991720601028 -1.261964721924391),1204137065,,drinking_water,Area E,,,,2/20litres,,piped_tap,yes,,06:00-22:00,private
POINT (36.858389225114252 -1.26156129654212),1204089873,,drinking_water,Watony,,operational,,3 ksh per20 ltrs,,piped_tap,,yes,5:30-10:30,private
POINT (36.858362185824198 -1.261413020634561),1204089853,,drinking_water,,,operational,,3 ksh,,,,,7:00-9:00,private
POINT (36.858518402852113 -1.261945502640019),1038202678,,drinking_water,,,operational,,2ksh per 20ltrs,,piped_tap,yes,,6:00-10:00,private
POINT (36.858830567413342 -1.261939395577665),1204089849,,drinking_water,,,operational,,2 ksh per 20 ltr,,piped_tap,yes,,6:00-10:00,private
POINT (36.858477978664318 -1.26157530686366),1205477315,,drinking_water,K-area,,operational,,3 Ksh per 20 ltr,public_community,piped_tap,,yes,06:00-20:00,latf
POINT (36.85852145712407 -1.261536598859748),1038202641,,drinking_water,Counselor,,operational,,free,,piped_tap,,yes,24/7,latf
POINT (36.858933514344898 -1.261157242428919),1207138005,,drinking_water,private Water Project,,operational,,,plot,piped_tap,yes,,06:00-22:00,private
POINT (36.858979508087444 -1.261150147457261),1205477313,,drinking_water,K-area,,operational,,free,public_community,piped_tap,,yes,24/7,latf
POINT (36.858735884982394 -1.261011032123107),1207138066,,drinking_water,private Water Project,,operational,,2 ksh/20 litres,plot,water_tank,yes,,07:00-21:30,private
POINT (36.859502776740449 -1.262342102423488),1204089876,,drinking_water,,,operational,,2ksh/20ltr,,piped_tap,yes,,5:00-9:00,private
POINT (36.859181269700258 -1.261945682259504),1204089865,,drinking_water,Community,,operational,,free,,piped_tap,,yes,6:00-10:00,latf
POINT (36.859475108629695 -1.261095902356914),1207138011,,drinking_water,private Water Project,,operational,,2 ksh/20 litres,plot,piped_tap,yes,,06:00-21:00,private
POINT (36.859298589676364 -1.260945021939346),1205477314,,drinking_water,Kachibora,,operational,,2 ksh per 20 ltr,,piped_tap,,,7:00-9:00,private
