WKT,osm_id,access,amenity,man_made,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.779222046597724 -1.317153649893027),2452591115,,drinking_water,,,,,,,,,,,
POINT (36.776926401889163 -1.316617407506776),769158971,private,drinking_water,,,,operational,2 shillings per head,,,yes,,,private
POINT (36.776926671383741 -1.316617317698955),769158968,yes,drinking_water,,,,operational,2 shillings per head,,,,yes,05:00-08:00,private
POINT (36.776864687629143 -1.316262576817303),2429045900,,drinking_water,,,,,,,,,,,
POINT (36.776768118736094 -1.31618974267055),2429045897,,drinking_water,,,,,,,,,,,
POINT (36.777031684440459 -1.316131816621359),2105336482,,drinking_water,,Water Tap,,non_operational,,,,,yes,,unknown
POINT (36.776852111215163 -1.315709629980378),2429045890,,drinking_water,,,,,,,,,,,
POINT (36.776799829265627 -1.315642812943213),2429045887,,drinking_water,,,,,,,,,,,
POINT (36.776974910914504 -1.315692656297721),2429045889,,drinking_water,,,,,,,,,,,
POINT (36.777360557665972 -1.315868589859976),2433443545,,drinking_water,,Morara,Morara,,,,,,,,
POINT (36.778646226500605 -1.316736492662298),2452591087,,drinking_water,,,,,,,,,,,
POINT (36.778843227042415 -1.316506584664607),2452557807,,drinking_water,,Mama richard,,,,,,,,,
POINT (36.779130508270278 -1.316569539942644),2452557804,,drinking_water,,Julius,,,,,,,,,
POINT (36.779384551832621 -1.316444527463168),2452557802,,drinking_water,,Abubakar,,,,,,,,,
POINT (36.778485697559333 -1.316195400563649),2433443556,,drinking_water,,Tornado,,,,,,,,,
POINT (36.778724559593385 -1.316122027567957),2452591032,,drinking_water,,,,,,,,,,,
POINT (36.778633470423571 -1.31580581417991),2452591003,,drinking_water,,,,,,,,,,,
POINT (36.778850593227745 -1.316165584364923),2452591036,,drinking_water,,,,,,,,,,,
POINT (36.779201565009245 -1.316232581003736),2452557808,,drinking_water,,Stephen kikumu,,,,,,,,,
POINT (36.779111463986247 -1.315953099034773),2452557805,,drinking_water,,Mama faith,,,,,,,,,
POINT (36.778916709232647 -1.315632934080057),769145325,yes,drinking_water,,,,operational,2,,,,yes,07:00-18:00,
POINT (36.779643446297513 -1.317160116054088),2452591118,,drinking_water,,,,,,,,,,,
POINT (36.780151802916791 -1.317132994100688),2452591112,,drinking_water,,,,,,,,,,,
POINT (36.780730767117404 -1.317219838235177),2452608409,,drinking_water,,Tony,,,,,,,,,
POINT (36.779480581736493 -1.316668238727701),2452591085,,drinking_water,,,,,,,,,,,
POINT (36.779851046959664 -1.316644709081391),2452591083,,drinking_water,,,,,,,,,,,
POINT (36.780104551532844 -1.316788401574471),612007911,yes,drinking_water,water_tower,,,,,,,,yes,,
POINT (36.779804693891002 -1.316569629750466),612009086,yes,drinking_water,water_tower,,,,,,,,yes,,
POINT (36.779814844853718 -1.316378339100433),2452591062,,drinking_water,,,,,,,,,,,
POINT (36.779860299607087 -1.316463387104868),2452591076,,drinking_water,,,,,,,,,,,
POINT (36.779853382579397 -1.316421177430375),2452591072,,drinking_water,,,,,,,,,,,
